Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
34027,3.204009800833177,6.629899044382326,Nigeria,Ogun,Ado-Odo/Ota,IJU,1376.1046760000,5403,645,229,60.200000000000003,92,114,216,111,none,grid,grid,10730
34032,3.170011314550008,6.651019337870749,Nigeria,Ogun,Ado-Odo/Ota,IJU,8772.1347610000,5408,646,1462,59.899999999999999,582,688,1416,736,mini-grid,mini-grid,intercon,5360
34034,2.989002311941222,6.657009296021827,Nigeria,Ogun,Ado-Odo/Ota,ALAPOTI,2070.5475930000,5410,615,345,62.700000000000003,149,202,376,183,mini-grid,mini-grid,intercon,6270
34035,2.782917278924009,6.650762003909922,Nigeria,Ogun,Ipokia,IHUNBO/ ILASE,1853.2679070000,5411,662,309,42.899999999999999,128,100,152,153,mini-grid,intercon,intercon,7650
34036,3.450420602093238,6.6767431960721,Nigeria,Ogun,Shagamu,IPAKODO,19008.3515600000,5412,666,3168,54.700000000000003,1202,1320,2608,1522,mini-grid,intercon,intercon,7860
34037,3.987704457322296,6.681976578467392,Nigeria,Ogun,Ijebu ode,ODORAGUNSIN,2747.9489660000,5413,688,458,60.399999999999999,172,222,440,223,none,mini-grid,intercon,10260
34039,3.86484174467675,6.702824892095308,Nigeria,Ogun,Odogbolu,JOBORE/IBIDO/IKISE,15224.0009800000,5415,685,2537,59.500000000000000,1022,1312,2256,1223,mini-grid,intercon,intercon,11600
34041,3.049375004013025,6.674301923789932,Nigeria,Ogun,Ado-Odo/Ota,ATAN,6531.1717280000,5417,624,1089,66.500000000000000,498,626,1336,554,mini-grid,intercon,intercon,6210
34044,3.060444758148702,6.691344472874206,Nigeria,Ogun,Ado-Odo/Ota,ATAN,1559.3012730000,5420,627,260,60.100000000000001,95,130,240,132,none,mini-grid,intercon,7910
34048,4.055300495045576,6.707188076597977,Nigeria,Ogun,Ijebu ode,ITAMAPAKO,982.7200185000,5424,688,164,63.000000000000000,59,92,168,77,none,mini-grid,intercon,13570
34050,2.792586548917025,6.694365182704384,Nigeria,Ogun,Ipokia,IHUNBO/ ILASE,4583.0407380000,5426,595,764,61.399999999999999,311,360,848,393,none,grid,grid,4220
34059,3.881837277962404,6.7202949039255,Nigeria,Ogun,Odogbolu,ALA/IGBILE,1022.4926380000,5435,685,170,61.399999999999999,67,82,160,84,none,grid,grid,7880
34060,3.939041144870522,6.721925934415975,Nigeria,Ogun,Odogbolu,ISIWO,1844.7471350000,5436,687,307,58.600000000000001,123,146,272,148,none,grid,grid,8320
34061,4.034374286985859,6.725854249396672,Nigeria,Ogun,Ijebu ode,ITAMAPAKO,1635.9882210000,5437,688,273,65.900000000000006,71,78,160,103,none,mini-grid,intercon,9150
34064,3.852726854443763,6.727011582592795,Nigeria,Ogun,Odogbolu,JOBORE/IBIDO/IKISE,1499.6558690000,5440,685,250,57.200000000000003,96,116,208,126,none,grid,grid,5020
34065,3.162180826227557,6.721980935128146,Nigeria,Ogun,Ado-Odo/Ota,ILOGBO,1860.7286980000,5441,641,310,65.700000000000003,130,180,408,158,mini-grid,mini-grid,intercon,8810
34075,3.496188352476646,6.747540838702244,Nigeria,Ogun,Shagamu,OGIJO/ LIKOSI,2262.9672390000,5451,669,377,64.799999999999997,150,194,392,189,none,grid,grid,7780
34077,3.022098366376753,6.742849492963416,Nigeria,Ogun,Egbado South,ILOBI/ERINJA,1878.8302230000,5453,616,313,67.200000000000003,76,98,184,106,none,grid,grid,9560
34080,3.299102026708295,6.748839283999313,Nigeria,Ogun,Ifo,OKE-ARO/IBARAGUN/ROBIYAN,2036.4645050000,5456,656,339,65.000000000000000,130,190,352,171,none,mini-grid,intercon,7220
34082,3.03777650982362,6.748092663847679,Nigeria,Ogun,Egbado South,ILOBI/ERINJA,2057.7664350000,5458,616,343,63.899999999999999,108,130,256,144,none,grid,grid,11540
34088,3.31942425239376,6.758509429252615,Nigeria,Ogun,Ifo,OKE-ARO/IBARAGUN/ROBIYAN,1343.8856300000,5464,656,224,60.000000000000000,89,104,216,105,none,none,grid,10200
34092,4.142263667668353,6.784879801173181,Nigeria,Ogun,Ijebu East,ITELE,3302.6655700000,5468,693,550,55.500000000000000,209,236,448,284,none,mini-grid,intercon,7170
34095,3.138826935266618,6.774543605663499,Nigeria,Ogun,Ifo,COKER,3778.9623760000,5471,638,630,56.200000000000003,249,282,528,305,mini-grid,intercon,intercon,17110
34096,2.771372350951736,6.771185924161575,Nigeria,Ogun,Ipokia,IFONYINTEDO,2252.4320900000,5472,618,375,67.099999999999994,117,130,352,163,none,grid,grid,3880
34097,3.002062828815889,6.773176322673969,Nigeria,Ogun,Egbado South,AJILETE,1431.2436080000,5473,616,239,60.500000000000000,103,150,264,130,none,grid,grid,11610
34098,3.278166959622355,6.778405218868667,Nigeria,Ogun,Ifo,OSOSUN,2019.4229610000,5474,655,337,60.000000000000000,136,158,312,165,none,mini-grid,intercon,11080
34105,2.740166843243906,6.790530705007533,Nigeria,Ogun,Ipokia,IFONYINTEDO,6104.7645150000,5481,618,1017,61.799999999999997,309,366,712,420,mini-grid,intercon,intercon,8700
34108,3.034823478227378,6.791596624084212,Nigeria,Ogun,Egbado South,IWOYE,1235.5119380000,5484,616,206,63.600000000000001,79,98,216,100,none,grid,grid,12130
34111,3.122665221263294,6.793386773772053,Nigeria,Ogun,Ifo,IBOGUN,1026.7530240000,5487,638,171,64.400000000000006,68,88,184,86,none,grid,grid,10150
34113,3.012800743605069,6.798358787159319,Nigeria,Ogun,Egbado South,IWOYE,3519.0788310000,5489,616,587,66.299999999999997,212,270,512,270,mini-grid,intercon,intercon,9840
34117,3.160964998953186,6.809305207584251,Nigeria,Ogun,Ifo,IBOGUN,1269.5950260000,5493,638,212,58.200000000000003,83,98,176,102,none,grid,grid,11040
