Id,Lat,Lon,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
33348,6.514077651393923,9.776527506393064,Nigeria,Niger,Bosso,SHATA,2075.3162830000,2868,318,358,73.400000000000006,85,100,224,135,none,grid,grid,12240
33350,5.24830720151793,11.310996847838386,Nigeria,Niger,Rijau,SENCHI,1445.9958360000,2870,364,249,71.900000000000006,58,68,152,86,none,grid,grid,1450
33351,5.466653257025924,9.838622482220233,Nigeria,Niger,Mashegu,SAHO-RAMI,1902.3732590000,2871,374,328,69.700000000000003,75,96,184,120,none,none,grid,6310
33352,5.661649714179019,9.924473769356,Nigeria,Niger,Mashegu,MASHEGU,1450.7998090000,2872,383,250,75.099999999999994,61,70,168,85,none,none,grid,6250
33376,5.520318757229985,9.415519244007269,Nigeria,Niger,Lavun,LAGUN,1681.3905070000,2896,376,290,85.900000000000006,80,112,432,126,none,mini-grid,intercon,25630
33392,6.687965297110939,8.693328747610098,Nigeria,Niger,Lapai,EVUTI/KPADA,1196.1892460000,2912,453,206,70.799999999999997,52,56,120,72,none,none,grid,34340
33414,6.586518294974022,9.115578538466751,Nigeria,Niger,Lapai,AREWA/YAMMA,2642.1850830000,2934,324,456,74.599999999999994,106,116,320,159,none,grid,grid,1580
33448,6.225468471665256,8.870477086835196,Nigeria,Niger,Katcha,GBAKOGI,1301.8766500000,2968,432,224,68.400000000000006,52,60,120,82,none,grid,grid,4050
33450,6.178801068297321,9.038974648959808,Nigeria,Niger,Katcha,DZWAFU,1349.9163780000,2970,425,233,68.400000000000006,62,84,200,99,none,grid,grid,700
33457,6.216014036054802,8.899649983791692,Nigeria,Niger,Katcha,BAKEKO,1849.5295580000,2977,421,319,67.000000000000000,77,84,160,112,none,grid,grid,1220
33471,6.079232105557457,9.004738933072694,Nigeria,Niger,Edati,SIDI SABA,1633.3507780000,2991,414,282,70.099999999999994,74,108,224,106,none,grid,grid,4870
33482,6.783014675151684,9.353575429648446,Nigeria,Niger,Lapai,TAKUTI/SHAKU,1340.3084330000,3002,338,231,71.000000000000000,56,70,136,80,none,grid,grid,4470
33483,6.109996178894898,10.212463076588758,Nigeria,Niger,Rafi,TEGINA WEST,1614.1348870000,3003,413,278,70.700000000000003,76,84,168,101,mini-grid,intercon,intercon,12290
