,Unnamed: 0,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m,demand_cat_4,demand_cat_2
1443,1856,348,41172,6.371431839,13.55332107,Nigeria,Sokoto,Sabon Birni,S/BIRNI EAST,917.4516271,7302,73,187,78.1,53,50,136,77,none,none,grid,4370,2,0
1444,1245,541,39985,9.13142613,8.597791326,Nigeria,Plateau,Qua''an Pan',NAMU,915.0857382,5318,253,173,74.4,63,116,248,78,mini-grid,mini-grid,intercon,47330,2,0
1445,277,277,10930,8.270934162,5.258314704,Nigeria,Cross River,Akamkpa,MBARAKOM,909.6077598,740,535,268,64.8,86,100,208,107,none,none,grid,8570,3,0
1446,1645,137,40718,4.780797336,12.98182673,Nigeria,Sokoto,Silame,MARAFA EAST,902.6681485,6848,76,184,64.1,56,56,120,75,none,none,grid,2340,2,0
1447,1861,353,41180,5.783615323,13.55711988,Nigeria,Sokoto,Goronyo,TSITSE,900.8282478,7310,33,184,67.6,56,60,136,76,none,none,grid,5170,2,0
1448,1509,1,40419,4.512086389,11.63471547,Nigeria,Sokoto,Kebbe,FAKKU,899.020563,6549,90,183,63.6,60,64,128,75,none,none,grid,73030,2,0
1449,817,113,38379,9.887910961,9.27658833,Nigeria,Plateau,Kanam,NAMARAN,898.1918476,3712,212,169,74.7,63,98,224,81,mini-grid,mini-grid,intercon,9130,2,0
1450,30,30,10317,8.02696442,5.49220412,Nigeria,Cross River,Biase,UMON NORTH,896.2310752,127,517,264,65.8,65,78,152,96,none,mini-grid,intercon,18110,2,0
1451,1552,44,40540,4.866047526,12.42278211,Nigeria,Sokoto,Tambuwal,DOGONDAJI/SALA,893.8128547,6670,82,182,67.8,56,58,136,73,none,mini-grid,intercon,7720,2,0
1452,317,14,31323,5.94176219,8.815423513,Nigeria,Niger,Edati,MAMBE,888.7349825,843,394,153,67.5,57,88,160,69,none,grid,grid,10970,2,0
1453,189,189,10701,8.297703638,6.058264033,Nigeria,Cross River,Obubra,OBUBRA URBAN,886.6378669,511,537,261,71.2,62,80,168,88,none,none,grid,6290,2,0
1454,190,190,10706,8.4515402,6.118865719,Nigeria,Cross River,Obubra,OFUMBONGHA/YALA,886.6378669,516,548,261,69.3,64,82,152,89,none,mini-grid,intercon,11480,2,0
1455,165,165,10631,8.016848237,5.654020607,Nigeria,Cross River,Biase,AGWAGUNE/OKURIKE,882.0438883,441,456,259,73.7,65,84,168,96,none,none,grid,2760,2,0
1456,61,61,10380,8.542463785,5.90555427,Nigeria,Cross River,Ikom,OFUTOP II,876.6601758,190,569,258,68.3,78,100,192,104,none,grid,grid,4370,3,0
1457,258,258,10901,8.820229769,6.799721722,Nigeria,Cross River,Yala,UGBORO,872.8559311,711,457,257,66,67,80,144,91,none,grid,grid,9890,2,0
1458,891,187,38534,8.986491121,9.973591265,Nigeria,Plateau,Jos East,SHERE WEST,862.0076637,3867,243,163,69.2,51,56,136,66,none,grid,grid,11140,2,0
1459,509,206,31938,7.041698777,10.3086493,Nigeria,Niger,Shiroro,KWAKI/CHUKWUBA,856.460561,1458,-,148,65.9,52,50,112,60,none,none,mini-grid,50000,2,0
1460,11,11,10239,8.436446264,5.088917482,Nigeria,Cross River,Akpabuyo,IDUNDU/ANYANGANSE,855.2523724,49,558,252,68,62,74,152,92,none,none,grid,5400,2,0
1461,263,263,10909,8.723724884,5.918483063,Nigeria,Cross River,Etung,IKOM URBAN I,849.8860382,719,591,250,73.1,59,78,160,91,none,none,grid,6610,2,0
1462,269,269,10917,8.473688366,6.719207172,Nigeria,Cross River,Yala,OWO,845.2920596,727,547,249,74.9,76,98,240,108,none,none,grid,12040,3,0
1463,933,229,38679,8.81873579,9.209303393,Nigeria,Plateau,Bokkos,DAFFO,841.8788791,4012,230,159,50.5,56,60,80,78,none,mini-grid,intercon,22260,2,0
1464,398,95,31555,5.47648116,9.328362585,Nigeria,Niger,Lavun,DASSUN,840.6952537,1075,376,145,81,53,92,240,68,none,mini-grid,intercon,12980,2,0
1465,1574,66,40607,4.832287228,12.67199742,Nigeria,Sokoto,Tambuwal,SAIDA/GOSHE,838.6879039,6737,80,171,66.5,51,56,128,73,none,none,grid,6150,2,0
1466,1897,389,41249,5.388585737,13.61106274,Nigeria,Sokoto,Gawabawa,GARU,833.2146078,7379,151,170,67.3,50,48,128,67,none,none,grid,16370,2,0
1467,52,52,10358,8.511457996,5.786778239,Nigeria,Cross River,Ikom,OCHON,831.5101239,168,557,245,69.8,58,78,160,88,none,mini-grid,intercon,9080,2,0
1468,256,256,10894,8.730252386,6.592070465,Nigeria,Cross River,Ogoja,NKUM IBORR,826.9161453,704,589,243,72.7,76,88,232,100,none,grid,grid,9690,2,0
1469,255,255,10892,8.175973895,5.219466094,Nigeria,Cross River,Odukpani,ODOT,826.9161453,702,523,243,70.2,57,70,136,85,none,none,grid,5410,2,0
1470,191,191,10711,8.426672815,6.157085628,Nigeria,Cross River,Obubra,OSOPONG I,826.9161453,521,548,243,67,58,70,128,81,none,none,grid,12950,2,0
1471,270,270,10918,8.398913743,6.585917477,Nigeria,Cross River,Yala,MGBALAKU INYIMAGU II,826.9161453,728,546,243,76.2,58,84,168,93,none,none,grid,4660,2,0
1472,13,13,10242,8.66326354,5.103613503,Nigeria,Cross River,Akamkpa,OJUK NORTH,825.4738975,52,566,243,62.1,76,96,168,105,none,none,grid,18380,3,0
1473,1547,39,40521,5.371807326,12.3617992,Nigeria,Sokoto,Tureta,ZAUMA,824.7278422,6651,-,168,65.9,50,50,120,69,none,none,mini-grid,31140,2,0
1474,245,245,10872,8.379797592,6.589585214,Nigeria,Cross River,Yala,MGBALAKU INYIMAGU II,822.3221667,682,546,242,68.3,60,70,136,86,none,none,grid,7160,2,0
1475,194,194,10718,8.246983888,6.010168979,Nigeria,Cross River,Obubra,OVONUM,822.3221667,528,531,242,70,76,96,200,99,none,none,grid,4660,2,0
1476,1689,181,40802,5.409338707,13.11668916,Nigeria,Sokoto,Rabah,GAWAKUKE,821.007144,6932,12,168,59,60,64,128,81,none,grid,grid,6810,2,0
1477,300,300,10981,8.700597521,6.533468354,Nigeria,Cross River,Ogoja,NKUM IBORR,817.7281881,791,589,241,68.5,73,88,200,97,none,grid,grid,7880,2,0
1478,226,226,10825,8.454518626,6.604440815,Nigeria,Cross River,Yala,MGBALAKU INYIMAGU II,808.5402309,635,555,238,65.1,77,92,168,106,none,mini-grid,intercon,7060,3,0
1479,386,83,31525,5.649722007,9.278021275,Nigeria,Niger,Lavun,DABBAN,807.6145819,1045,376,139,71.1,51,82,176,64,none,none,grid,6720,2,0
1480,216,216,10804,8.753172552,6.611844787,Nigeria,Cross River,Ogoja,OGOJA URBAN II,799.3522738,614,589,235,79,71,96,256,101,none,grid,grid,5660,3,0
1481,1728,220,40887,6.290583223,13.25387432,Nigeria,Sokoto,Isa,TSABREN SARKIN DARAI,799.2949782,7017,64,163,69.5,50,54,120,71,none,none,grid,8150,2,0
1482,1970,462,41372,5.342567532,13.79731551,Nigeria,Sokoto,Illela,R. GATI,798.6894006,7502,158,163,69,53,54,128,68,none,none,grid,11420,2,0
1483,156,156,10609,8.249412815,5.348634992,Nigeria,Cross River,Akamkpa,UYANGA,794.7582952,419,532,234,68.8,56,70,128,81,none,none,grid,4890,2,0
1484,229,229,10832,8.450117113,6.467701797,Nigeria,Cross River,Yala,EKAJUK I,794.7582952,642,562,234,72.4,60,76,144,82,none,none,grid,4640,2,0
1485,283,283,10946,8.733264091,6.104292664,Nigeria,Cross River,Ikom,AKPARABONG,790.1643166,756,587,232,69.4,55,64,136,87,none,grid,grid,11220,2,0
1486,1001,297,38856,9.623239547,9.400774978,Nigeria,Plateau,Kanke,KABWIR PADA,788.381559,4189,303,149,64.7,56,72,160,65,none,none,grid,3690,2,0
1487,230,230,10834,8.787732125,6.775807147,Nigeria,Cross River,Yala,WANIKADE,785.570338,644,457,231,64,78,82,160,102,none,grid,grid,7940,3,0
1488,291,291,10965,8.354757042,6.650278375,Nigeria,Cross River,Yala,EZZA INYIMAGU - IZIOGO,780.9763594,775,547,230,73.7,73,86,224,95,none,none,grid,11650,2,0
1489,168,168,10636,7.938900916,5.746853468,Nigeria,Cross River,Biase,EREI SOUTH,780.9763594,446,455,230,64.8,54,66,120,78,none,grid,grid,10120,2,0
1490,7,7,10229,8.577168539,5.064495365,Nigeria,Cross River,Akamkpa,OJUK NORTH,778.9214066,39,567,229,65.9,58,66,128,84,none,none,grid,8790,2,0
1491,1329,81,34178,3.453572941,6.917992211,Nigeria,Ogun,Obafemi-Owode,OWODE,772.567707,5554,664,129,63.6,52,78,144,63,none,mini-grid,intercon,8650,2,0
1492,26,26,10306,8.043867622,5.408135283,Nigeria,Cross River,Odukpani,ISU,771.7884022,116,517,227,62.6,69,86,168,98,none,none,grid,16410,2,0
1493,1690,182,40803,4.73279387,13.10769494,Nigeria,Sokoto,Silame,SORO YAMMA,766.1869643,6933,145,156,70.9,61,80,184,74,none,none,grid,13310,2,0
