,index,Id,Lon,Lat,Country,State,LGA,Ward,Population,NESP_ID,Branch_id,Customers,Renewable energy share,Generator capacity (kw),PV size(kW),Battery capacity (kWh),Demand,Electr_type_phase_1,Electr_type_phase_2,Electr_type_phase_3,Distance_m
1644,136,40717,5.658152248685028,12.992860396580024,Nigeria,Sokoto,Rabah,RARA,1059.934645,6847,40,216,73.2,52,60,136,84,none,none,grid,3840
49,49,10353,7.985133045201961,5.746736624008921,Nigeria,Cross River,Biase,ABAYONG,1056.615074,163,455,311,60.2,123,182,336,153,none,grid,grid,8590
223,223,10820,8.071940787033808,5.95055122101296,Nigeria,Cross River,Abi,NDIAGU AMAGU II,1056.615074,630,500,311,69.2,93,120,240,125,none,grid,grid,6280
1369,121,34350,3.146969780253752,6.709649807092208,Nigeria,Ogun,Ado-Odo/Ota,ILOGBO,1056.575726,5726,641,176,60.2,67,84,168,84,none,none,grid,6580
1030,326,38921,9.137863805707225,9.272965129788648,Nigeria,Plateau,Mangu,AMPANG WEST,1055.868159,4254,264,199,70.0,56,88,168,75,none,none,grid,4780
955,251,38731,8.800788405396897,9.126314119815872,Nigeria,Plateau,Bokkos,TOFF,1053.052511,4064,0,199,68.9,59,66,168,94,none,mini-grid,mini-grid,32830
1548,40,40526,4.789357579348555,12.371813807684417,Nigeria,Sokoto,Tambuwal,BARKEJI/NABAGUDA,1052.984253,6656,77,215,82.2,60,58,208,82,none,none,grid,3950
604,301,32372,5.495395908208283,9.070647511701551,Nigeria,Niger,Edati,ROKOTA,1052.07006,1892,373,181,75.09999999999998,58,72,176,79,none,none,grid,6310
68,68,10403,8.387579648177642,5.971048967184561,Nigeria,Cross River,Obubra,OCHON,1052.021095,213,549,309,69.0,99,104,280,135,none,grid,grid,1850
1928,420,41297,5.441724091792122,13.679532902979396,Nigeria,Sokoto,Illela,TOZAI,1051.185916,7427,161,215,86.29999999999998,52,58,192,76,none,none,grid,17070
1240,536,39931,9.074114979775842,9.68899601661005,Nigeria,Plateau,Barikin Ladi,FURSUM,1050.236862,5264,244,198,64.5,63,66,136,78,none,none,grid,20470
1713,205,40849,5.493788582175521,13.188831730750383,Nigeria,Sokoto,Wurno,CHACHO/MARNONA,1049.509058,6979,22,214,76.5,56,52,144,80,none,none,grid,3280
1949,441,41330,5.823597182279567,13.722655571682449,Nigeria,Sokoto,Gada,DUKAMAJE/ILAH,1049.509058,7460,43,214,84.79999999999998,50,58,184,74,none,none,grid,15650
1907,399,41262,6.122328199015471,13.635578962633344,Nigeria,Sokoto,Sabon Birni,LAJINGE,1049.229489,7392,62,214,71.9,53,54,120,74,none,none,grid,31920
1831,323,41125,5.470121187031527,13.497755655436396,Nigeria,Sokoto,Gawabawa,DARNE/ TSOLAWO,1045.892137,7255,16,213,80.5,54,58,168,76,none,none,grid,3710
9,9,10235,8.238498706184343,5.072851752352867,Nigeria,Cross River,Odukpani,ADIABO/EFUT,1045.361489,45,527,307,62.3,124,164,296,152,none,none,grid,4840
1403,155,34500,3.174547487316486,6.857097126749615,Nigeria,Ogun,Ewekoro,PAPALANTO,1043.794568,5876,648,174,60.3,69,84,152,89,none,grid,grid,5060
267,267,10915,8.469375373538076,6.441373233395173,Nigeria,Cross River,Yala,EKAJUK I,1042.833138,725,562,307,65.1,119,154,304,156,none,none,grid,2840
1980,472,41446,5.093549657551797,12.843116130221162,Nigeria,Sokoto,Bodinga,MAZAN GARI/JIRGA MIYO,1042.558667,7576,119,213,73.29999999999998,51,52,128,80,none,grid,grid,6380
1913,405,41273,5.968670864877907,13.643486876374483,Nigeria,Sokoto,Gada,DUKAMAJE/ILAH,1042.558667,7403,56,213,82.9,51,54,176,75,none,none,grid,16230
811,107,38368,9.84567703530281,9.233127641091738,Nigeria,Plateau,Langtang North,REAK,1041.789917,3701,199,197,69.8,62,62,184,85,none,grid,grid,3280
1386,138,34405,3.061749048522858,7.310425039971704,Nigeria,Ogun,Abeokuta North,IDO FOI,1039.534182,5781,631,173,62.2,53,58,120,74,none,grid,grid,6340
1325,77,34162,3.099220696547606,6.895811147503466,Nigeria,Ogun,Egbado South,ASA/YOBO,1039.534182,5538,634,173,63.3,69,86,176,85,none,none,grid,2550
2011,503,41685,6.30020215322554,13.647014918327557,Nigeria,Sokoto,Sabon Birni,S/BIRNI EAST,1039.083471,7815,62,212,70.9,51,50,120,73,none,none,grid,15170
234,234,10846,8.879029155143467,6.766097550213409,Nigeria,Cross River,Yala,UGBORO,1038.23916,656,466,305,68.4,96,112,240,134,none,grid,grid,4080
225,225,10824,8.85884287127457,6.814927184052298,Nigeria,Cross River,Yala,MBAYEGH/MBAIKYER,1038.23916,634,466,305,64.9,96,114,208,128,none,grid,grid,10900
208,208,10786,8.750913749508443,6.507159699003861,Nigeria,Cross River,Ogoja,EKAJUK II,1038.23916,596,593,305,61.4,93,112,216,120,none,mini-grid,intercon,6020
492,189,31871,5.046681607218731,10.067330581465692,Nigeria,Niger,Mashegu,MAZAKUKA/LIKORO,1037.555819,1391,-,179,62.2,66,72,168,87,none,none,mini-grid,21840
185,185,10691,9.199353100780126,6.601863984387905,Nigeria,Cross River,Obanliku,BISU,1033.645181,501,491,304,67.8,89,114,240,132,none,grid,grid,8050
334,31,31367,5.902281988896596,8.928670075433889,Nigeria,Niger,Edati,JIMA,1033.509619,887,391,178,68.2,56,66,144,80,none,none,grid,7650
549,246,32078,4.703361296939267,10.836923171322026,Nigeria,Niger,Agwara,AGWATA,1032.854168,1598,-,178,64.2,69,86,168,85,none,mini-grid,mini-grid,143510
1572,64,40600,5.090909297036418,12.646714738363931,Nigeria,Sokoto,Shagari,LAMBARA,1029.738422,6730,118,210,69.8,51,56,112,72,none,grid,grid,1390
713,9,38198,9.659963810560594,8.524325919511698,Nigeria,Plateau,Shendam,KURUNGBAU (B),1027.711675,3531,292,194,68.0,81,98,216,98,none,none,grid,26290
1303,55,34111,3.122665221263294,6.793386773772053,Nigeria,Ogun,Ifo,IBOGUN,1026.753024,5487,638,171,64.4,68,88,184,86,none,grid,grid,10150
1453,205,34719,3.341255968725527,6.866502859032749,Nigeria,Ogun,Obafemi-Owode,MOKOLOKI,1026.753024,6095,658,171,62.2,64,84,176,85,none,none,grid,13050
1697,189,40816,4.951865112383958,13.129106414091906,Nigeria,Sokoto,Binji,MAIKULKI,1025.663319,6946,89,209,73.79999999999998,50,52,128,75,none,none,grid,9040
2015,507,41693,6.418088611947996,13.50779799014384,Nigeria,Sokoto,Sabon Birni,TARA,1025.182689,7823,73,209,72.2,51,52,120,73,none,none,grid,10190
1218,514,39765,9.97840225400664,8.675063258360169,Nigeria,Plateau,Wase,FAJUL,1024.896026,5098,189,193,71.3,60,86,176,76,none,mini-grid,intercon,29820
236,236,10849,8.658615947802392,6.54556632485828,Nigeria,Cross River,Ogoja,OKUKU,1024.457224,659,585,301,82.7,116,170,544,147,none,none,grid,4310
447,144,31709,6.314012021314907,9.627742936672488,Nigeria,Niger,Bosso,BEJI,1023.795632,1229,442,177,64.1,52,58,120,73,none,grid,grid,9460
